id,depth.mean,depth.top,depth.btm,density,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,pseudo,smb.1979_2021,smb.1979_2021.mean.ci,smb.1979_2021.MARavgerr,smb.2011_2013,smb.2011_2013.mean.ci,smb.2011_2013.MARavgerr,smb.2013,smb.2013.MARerr
ABN_SKL,0,0,0,357,-71.1669,111.3665,242.9,0.0684,0.0708,0.0316,0.0022,0,0.0005,0.0008,0.0003,0.0011,p4,ABN,1,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-03,1.5,0,3,357,-71.1669,111.3665,211,NA,NA,NA,0.033,0,NA,NA,NA,0.0007,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-06,4.5,3,6,357,-71.1669,111.3665,105.7,0.075,0.0801,0.0334,0.0454,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-09,7.5,6,9,361,-71.1669,111.3665,96.9,0.0833,0.0887,0.0372,0.0468,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-12,10.5,9,12,365,-71.1669,111.3665,139.8,0.0777,0.0839,0.0341,0.0406,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-15,13.5,12,15,369,-71.1669,111.3665,99.5,0.0848,0.0901,0.0379,0.0399,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-18,16.5,15,18,373,-71.1669,111.3665,93.1,0.0798,0.0852,0.0355,0.0293,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-21,19.5,18,21,377,-71.1669,111.3665,74.3,0.0717,0.0782,0.0311,0.0152,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-24,22.5,21,24,381,-71.1669,111.3665,74.6,0.0706,0.077,0.0306,0.011,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-27,25.5,24,27,382,-71.1669,111.3665,63.1,0.0675,0.0724,0.0299,0.0172,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-30,28.5,27,30,378,-71.1669,111.3665,71.9,0.0702,0.0759,0.0308,0.0139,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-33,31.5,30,33,372,-71.1669,111.3665,68.8,0.0681,0.0743,0.0295,0.0085,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-36,34.5,33,36,367,-71.1669,111.3665,75.9,0.0669,0.072,0.0294,0.0076,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-39,37.5,36,39,361,-71.1669,111.3665,103.1,0.0629,0.0662,0.0285,0.005,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-42,40.5,39,42,356,-71.1669,111.3665,133.5,0.064,0.0659,0.0297,0.0106,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-45,43.5,42,45,350,-71.1669,111.3665,166.8,0.0599,0.0622,0.0275,0.0115,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-48,46.5,45,48,349,-71.1669,111.3665,102.8,0.0541,0.0569,0.0245,0.0178,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-51,49.5,48,51,352,-71.1669,111.3665,68,0.0573,0.0566,0.0279,0.0469,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-54,52.5,51,54,355,-71.1669,111.3665,75.2,0.0545,0.0521,0.0274,0.0651,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-57,55.5,54,57,358,-71.1669,111.3665,64.7,0.0634,0.0608,0.0317,0.0802,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-60,58.5,57,60,361,-71.1669,111.3665,54.4,0.0594,0.0589,0.0288,0.0729,0,0.0012,0.0023,0.0002,0.0008,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-63,61.5,60,63,364,-71.1669,111.3665,51.2,0.0579,0.0578,0.0278,0.0514,0,0.0012,0.0023,0.0002,0.0008,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-66,64.5,63,66,366,-71.1669,111.3665,52.6,0.0579,0.0578,0.0278,0.032,0,0.0012,0.0023,0.0002,0.0008,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-69RR,67.5,66,69,369,-71.1669,111.3665,54.9,0.0577,0.0578,0.0277,0.0332,0,0.0005,0.0008,0.0003,0.0011,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-72,70.5,69,72,371,-71.1669,111.3665,57.3,0.0597,0.0603,0.0284,0.0305,0,0.0012,0.0023,0.0002,0.0008,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-75,73.5,72,75,374,-71.1669,111.3665,60.7,0.0588,0.0605,0.0273,0.0408,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-78,76.5,75,78,376,-71.1669,111.3665,67.1,0.0571,0.0587,0.0266,0.0447,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-81,79.5,78,81,379,-71.1669,111.3665,70.9,0.0513,0.0529,0.0238,0.0366,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-84,82.5,81,84,381,-71.1669,111.3665,63.8,0.0496,0.0495,0.0238,0.0517,0,0.0012,0.0023,0.0002,0.0008,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-87,85.5,84,87,383,-71.1669,111.3665,54.6,0.0498,0.0511,0.0232,0.0458,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-90,88.5,87,90,386,-71.1669,111.3665,52.6,0.0485,0.0507,0.0222,0.0361,0,0.0012,0.0023,0.0002,0.0008,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-93,91.5,90,93,388,-71.1669,111.3665,51.6,0.0478,0.0501,0.0217,0.0358,0,0.0006,0.0008,0.0003,0.0009,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-96,94.5,93,96,390,-71.1669,111.3665,52.4,0.0507,0.0518,0.0237,0.034,0,0.0012,0.0023,0.0002,0.0008,p4,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
