id,depth.mean,depth.top,depth.btm,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,smb,pseudo
CHICH_P1-00-est,0,0,0,-70.4309,134.1378,264,0.0724,0.079,0.0313,-0.0185,NA,NA,NA,NA,NA,p1,CHIC-01,180.3,1
CHICH_P1-03,1.5,0,3,-70.4309,134.1378,48,0.0676,0.0716,0.0304,-0.0032,1,0.0012,0.0023,0.0002,0.0008,p1,CHIC-01,180.3,0
CHICH_P1-06,4.5,3,6,-70.4309,134.1378,41,0.0651,0.0704,0.0285,-0.0023,1,0.0009,0.0016,0.0003,0.0016,p1,CHIC-01,180.3,0
CHICH_P1-09,7.5,6,9,-70.4309,134.1378,41,0.0674,0.0719,0.03,0.0024,1,0.0009,0.0016,0.0003,0.0016,p1,CHIC-01,180.3,0
CHICH_P1-12,10.5,9,12,-70.4309,134.1378,47,0.0705,0.0757,0.0312,-0.0013,1,0.0012,0.0023,0.0002,0.0008,p1,CHIC-01,180.3,0
CHICH_P1-15,13.5,12,15,-70.4309,134.1378,77,0.0709,0.0751,0.0318,-0.0037,1,0.0012,0.0023,0.0002,0.0008,p1,CHIC-01,180.3,0
CHICH_P1-18,16.5,15,18,-70.4309,134.1378,79,0.0793,0.0832,0.036,0.0295,1,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
CHICH_P1-21,19.5,18,21,-70.4309,134.1378,75,0.0798,0.0854,0.0354,0.0348,1,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
CHICH_P1-24,22.5,21,24,-70.4309,134.1378,62,0.0634,0.0667,0.0287,0.005,1,0.0012,0.0023,0.0002,0.0008,p1,CHIC-01,180.3,0
CHICH_P1-27,25.5,24,27,-70.4309,134.1378,79,0.0609,0.0625,0.0284,0.0069,1,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
CHICH_P1-30,28.5,27,30,-70.4309,134.1378,139,0.0611,0.0598,0.03,0.0347,2,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
CHICH_P1-33,31.5,30,33,-70.4309,134.1378,263,0.0588,0.0556,0.0299,0.0469,4,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
CHICH_P1-36,34.5,33,36,-70.4309,134.1378,152,0.0602,0.0579,0.0301,0.03,2,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
CHICH_P1-39,37.5,36,39,-70.4309,134.1378,100,0.061,0.0598,0.0299,0.0277,1,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
CHICH_P1-42,40.5,39,42,-70.4309,134.1378,82,0.0665,0.0661,0.0321,0.0458,1,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
CHICH_P1-45,43.5,42,45,-70.4309,134.1378,62,0.0697,0.0706,0.033,0.0615,1,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
CHICH_P1-48,46.5,45,48,-70.4309,134.1378,56,0.0689,0.0692,0.0329,0.0594,1,0.0012,0.0023,0.0002,0.0008,p1,CHIC-01,180.3,0
CHICH_P1-51,49.5,48,51,-70.4309,134.1378,58,0.0731,0.0755,0.0339,0.0161,1,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
CHICH_P1-54,52.5,51,54,-70.4309,134.1378,61,0.0746,0.077,0.0346,0.035,1,0.0008,0.0011,0.0004,0.0007,p1,CHIC-01,180.3,0
