distance.km,plot.dist.mean,smb.mar.2011_2013,smb.mar.error.2011_2013,smb.mar.1979_2021,smb.mar.error.1979_2021,smb.mar.2013,smb.mar.error.2013
1,1,198.8,2.4,193.8,2.2,174.0,2.3
2,1.5,198.7,2.4,193.7,2.2,174.0,2.3
3,2.5,198.6,2.4,193.6,2.2,173.9,2.3
4,3.5,198.6,2.4,193.5,2.2,173.8,2.3
5,4.5,198.4,2.4,193.4,2.2,173.7,2.2
6,5.5,198.3,2.4,193.2,2.2,173.6,2.2
7,6.5,198.2,2.4,193.0,2.2,173.5,2.2
8,7.5,198,2.4,192.9,2.2,173.4,2.2
9,8.5,197.9,2.4,192.7,2.2,173.2,2.2
10,9.5,197.7,2.4,192.4,2.2,173.0,2.2
11,10.5,197.5,2.4,192.2,2.2,172.9,2.2
12,11.5,197.3,2.4,192.0,2.2,172.7,2.2
13,12.5,197.1,2.4,191.7,2.2,172.5,2.2
14,13.5,196.8,2.4,191.5,2.2,172.3,2.2
15,14.5,196.6,2.4,191.2,2.2,172.0,2.2
16,15.5,196.3,2.4,190.9,2.2,171.8,2.2
17,16.5,196.1,2.4,190.6,2.2,171.5,2.2
18,17.5,195.8,2.4,190.2,2.2,171.3,2.2
19,18.5,195.5,2.4,189.9,2.2,171.0,2.2
20,19.5,195.1,2.4,189.6,2.2,170.7,2.2
21,20.5,194.8,2.4,189.2,2.2,170.4,2.2
22,21.5,194.4,2.4,188.8,2.2,170.0,2.2
23,22.5,194.1,2.4,188.4,2.2,169.7,2.2
24,23.5,193.7,2.4,188.0,2.2,169.4,2.2
25,24.5,193.3,2.4,187.6,2.2,169.0,2.2
26,25.5,192.9,2.3,187.1,2.2,168.6,2.2
27,26.5,192.5,2.3,186.7,2.2,168.2,2.2
28,27.5,192.1,2.3,186.2,2.2,167.8,2.2
29,28.5,191.6,2.3,185.7,2.2,167.4,2.2
30,29.5,191.1,2.3,185.2,2.2,166.9,2.2
31,30.5,190.6,2.3,184.6,2.2,166.4,2.2
32,31.5,190,2.3,184.1,2.2,165.9,2.2
33,32.5,189.5,2.3,183.5,2.2,165.4,2.2
34,33.5,189,2.3,183.0,2.2,164.9,2.2
35,34.5,188.5,2.3,182.4,2.2,164.4,2.2
36,35.5,187.9,2.3,181.9,2.2,163.9,2.2
37,36.5,187.4,2.3,181.3,2.2,163.4,2.2
38,37.5,186.9,2.3,180.8,2.2,162.9,2.2
39,38.5,186.4,2.3,180.3,2.2,162.4,2.2
40,39.5,185.9,2.3,179.7,2.2,162.0,2.2
41,40.5,185.4,2.3,179.2,2.2,161.5,2.2
42,41.5,184.9,2.3,178.7,2.2,161.0,2.2
43,42.5,184.4,2.2,178.2,2.2,160.5,2.2
44,43.5,183.9,2.2,177.7,2.2,160.1,2.2
45,44.5,183.4,2.2,177.1,2.2,159.6,2.2
46,45.5,182.9,2.2,176.6,2.2,159.2,2.2
47,46.5,182.5,2.2,176.1,2.2,158.7,2.2
48,47.5,182,2.2,175.6,2.2,158.3,2.2
49,48.5,181.5,2.2,175.1,2.1,157.8,2.2
50,49.5,181,2.2,174.6,2.1,157.4,2.2
51,50.5,180.5,2.2,174.1,2.1,156.9,2.2
52,51.5,180.1,2.2,173.6,2.1,156.5,2.2
53,52.5,179.6,2.3,173.2,2.1,156.1,2.2
54,53.5,179.1,2.3,172.7,2.1,155.6,2.2
55,54.5,178.7,2.3,172.2,2.1,155.2,2.2
56,55.5,178.2,2.3,171.7,2.1,154.8,2.2
57,56.5,177.8,2.3,171.2,2.1,154.4,2.2
58,57.5,177.3,2.3,170.8,2.1,154.0,2.2
59,58.5,176.9,2.3,170.3,2.1,153.6,2.2
60,59.5,176.4,2.3,169.8,2.1,153.2,2.2
61,60.5,176,2.3,169.4,2.1,152.8,2.2
62,61.5,175.6,2.3,168.9,2.1,152.4,2.2
63,62.5,175.1,2.3,168.4,2.1,152.0,2.2
64,63.5,174.7,2.3,168.0,2.1,151.6,2.2
65,64.5,174.3,2.3,167.5,2.1,151.2,2.2
66,65.5,173.9,2.3,167.1,2.1,150.8,2.2
67,66.5,173.4,2.3,166.7,2.1,150.5,2.2
68,67.5,173,2.3,166.2,2.1,150.1,2.2
69,68.5,172.8,2.3,165.9,2.1,149.9,2.2
70,69.5,172.5,2.3,165.7,2.1,149.6,2.2
71,70.5,172.3,2.3,165.4,2.1,149.4,2.2
72,71.5,172.1,2.3,165.2,2.1,149.2,2.2
73,72.5,171.9,2.3,165.0,2.1,149.1,2.2
74,73.5,171.7,2.3,164.9,2.1,148.9,2.2
75,74.5,171.5,2.3,164.7,2.1,148.7,2.2
76,75.5,171.3,2.3,164.5,2.1,148.5,2.2
77,76.5,171.1,2.3,164.3,2.1,148.3,2.2
78,77.5,171,2.3,164.1,2.1,148.1,2.2
79,78.5,170.8,2.3,163.9,2.1,147.9,2.2
80,79.5,170.6,2.3,163.7,2.1,147.7,2.2
81,80.5,170.4,2.3,163.6,2.1,147.5,2.2
82,81.5,170.2,2.3,163.4,2.1,147.3,2.2
83,82.5,170,2.3,163.2,2.1,147.2,2.2
84,83.5,169.7,2.3,163.0,2.1,147.0,2.2
85,84.5,169.5,2.3,162.8,2.1,146.8,2.2
86,85.5,169.3,2.3,162.6,2.1,146.6,2.2
87,86.5,169.1,2.3,162.4,2.1,146.4,2.2
88,87.5,168.9,2.3,162.2,2.1,146.2,2.2
89,88.5,168.7,2.3,162.0,2.1,146.0,2.2
90,89.5,168.5,2.3,161.8,2.1,145.8,2.2
91,90.5,168.3,2.3,161.6,2.1,145.6,2.2
92,91.5,168.1,2.3,161.4,2.1,145.4,2.2
93,92.5,167.8,2.3,161.2,2.1,145.2,2.2
94,93.5,167.6,2.3,161.0,2.1,145.0,2.2
95,94.5,167.4,2.3,160.8,2.1,144.8,2.2
96,95.5,167.2,2.3,160.6,2.1,144.6,2.2
97,96.5,166.9,2.2,160.4,2.1,144.4,2.2
98,97.5,166.7,2.2,160.2,2.1,144.2,2.2
99,98.5,166.5,2.2,160.0,2.1,143.9,2.2
100,99.5,166.2,2.2,159.8,2.1,143.7,2.2
101,100.5,166,2.2,159.6,2.1,143.5,2.2
102,101.5,165.7,2.2,159.4,2.1,143.3,2.2
103,102.5,165.5,2.2,159.2,2.1,143.1,2.2
104,103.5,165.2,2.2,158.9,2.1,142.9,2.2
105,104.5,165,2.2,158.7,2.1,142.6,2.2
106,105.5,164.8,2.2,158.5,2.1,142.4,2.1
107,106.5,164.5,2.2,158.3,2.1,142.2,2.1
108,107.5,164.3,2.2,158.1,2.1,142.0,2.1
109,108.5,164,2.2,157.8,2.1,141.8,2.1
110,109.5,163.7,2.2,157.6,2.1,141.5,2.1
111,110.5,163.5,2.2,157.4,2.0,141.3,2.1
112,111.5,163.2,2.2,157.2,2.0,141.1,2.1
113,112.5,163,2.2,157.0,2.0,140.9,2.1
114,113.5,162.8,2.2,156.8,2.0,140.7,2.1
115,114.5,162.5,2.2,156.6,2.0,140.4,2.1
116,115.5,162.3,2.2,156.4,2.0,140.2,2.1
117,116.5,162.1,2.2,156.3,2.0,140.0,2.1
118,117.5,161.9,2.2,156.1,2.0,139.8,2.1
119,118.5,161.6,2.2,155.9,2.0,139.5,2.1
120,119.5,161.4,2.2,155.7,2.0,139.3,2.1
121,120.5,161.2,2.2,155.5,2.0,139.1,2.1
122,121.5,161,2.2,155.4,2.0,138.8,2.1
123,122.5,160.7,2.2,155.2,2.0,138.6,2.1
124,123.5,160.5,2.2,155.0,2.0,138.4,2.1
125,124.5,160.3,2.2,154.8,2.0,138.1,2.1
126,125.5,160.1,2.2,154.7,2.0,137.9,2.1
127,126.5,159.8,2.2,154.5,2.0,137.7,2.1
128,127.5,159.6,2.2,154.3,2.0,137.4,2.1
129,128.5,159.4,2.2,154.1,2.0,137.2,2.1
130,129.5,159.2,2.2,154.0,2.0,137.0,2.2
131,130.5,158.9,2.2,153.8,2.0,136.7,2.2
132,131.5,158.7,2.3,153.6,2.0,136.5,2.2
133,132.5,158.5,2.3,153.4,2.0,136.3,2.2
134,133.5,158.3,2.3,153.3,2.0,136.0,2.2
135,134.5,158.1,2.3,153.2,2.0,135.9,2.2
136,135.5,158,2.3,153.1,2.0,135.7,2.2
137,136.5,157.9,2.3,153.0,2.0,135.5,2.2
138,137.5,157.7,2.3,152.9,2.0,135.4,2.2
139,138.5,157.6,2.3,152.8,2.0,135.2,2.2
140,139.5,157.4,2.3,152.7,2.0,135.1,2.2
141,140.5,157.3,2.3,152.6,2.0,134.9,2.2
142,141.5,157.1,2.3,152.5,2.0,134.7,2.2
143,142.5,157,2.3,152.5,2.0,134.6,2.2
144,143.5,156.9,2.3,152.4,2.0,134.4,2.2
145,144.5,156.7,2.3,152.3,2.0,134.3,2.2
146,145.5,156.6,2.3,152.2,2.0,134.1,2.2
