distance.km,plot.dist.mean,elevation.rema
0,0,2619
0,0.1,2619
0.2,0.35,2620
0.5,0.6,2620
0.7,0.8,2621
0.9,1.05,2621
1.2,1.3,2622
1.4,1.5,2623
1.6,1.75,2623
1.9,2,2623
2.1,2.2,2624
2.3,2.45,2624
2.6,2.7,2625
2.8,2.9,2625
3,3.15,2626
3.3,3.4,2627
3.5,3.6,2628
3.7,3.85,2629
4,4.1,2630
4.2,4.3,2631
4.4,4.55,2632
4.7,4.8,2634
4.9,5,2635
5.1,5.25,2636
5.4,5.5,2638
5.6,5.7,2639
5.8,5.95,2641
6.1,6.2,2642
6.3,6.4,2643
6.5,6.65,2645
6.8,6.9,2646
7,7.1,2647
7.2,7.35,2648
7.5,7.6,2649
7.7,7.8,2650
7.9,8.05,2651
8.2,8.3,2652
8.4,8.5,2652
8.6,8.75,2653
8.9,9,2653
9.1,9.2,2653
9.3,9.45,2654
9.6,9.7,2654
9.8,9.9,2654
10,10.15,2654
10.3,10.4,2655
10.5,10.6,2655
10.7,10.85,2655
11,11.1,2655
11.2,11.3,2655
11.4,11.55,2655
11.7,11.8,2655
11.9,12,2655
12.1,12.25,2655
12.4,12.5,2655
12.6,12.7,2655
12.8,12.95,2655
13.1,13.2,2655
13.3,13.4,2655
13.5,13.65,2655
13.8,13.9,2656
14,14.1,2656
14.2,14.35,2656
14.5,14.6,2657
14.7,14.8,2657
14.9,15.05,2657
15.2,15.3,2657
15.4,15.5,2658
15.6,15.75,2658
15.9,16,2659
16.1,16.2,2660
16.3,16.45,2660
16.6,16.7,2661
16.8,16.9,2662
17,17.15,2663
17.3,17.4,2664
17.5,17.6,2665
17.7,17.85,2665
18,18.1,2667
18.2,18.3,2667
18.4,18.55,2668
18.7,18.8,2669
18.9,19,2670
19.1,19.25,2670
19.4,19.5,2671
19.6,19.7,2671
19.8,19.95,2672
20.1,20.2,2672
20.3,20.4,2673
20.5,20.65,2674
20.8,20.9,2674
21,21.1,2674
21.2,21.35,2675
21.5,21.6,2676
21.7,21.8,2676
21.9,22.05,2677
22.2,22.3,2677
22.4,22.5,2677
22.6,22.75,2677
22.9,23,2678
23.1,23.2,2678
23.3,23.45,2679
23.6,23.7,2679
23.8,23.9,2679
24,24.15,2679
24.3,24.4,2680
24.5,24.6,2680
24.7,24.85,2681
25,25.1,2680
25.2,25.3,2681
25.4,25.5,2681
25.6,25.75,2682
25.9,26,2682
26.1,26.2,2682
26.3,26.45,2683
26.6,26.7,2683
26.8,26.9,2684
27,27.15,2684
27.3,27.4,2684
27.5,27.6,2685
27.7,27.85,2685
28,28.1,2685
28.2,28.3,2686
28.4,28.55,2686
28.7,28.8,2687
28.9,29,2687
29.1,29.25,2687
29.4,29.5,2688
29.6,29.7,2688
29.8,29.95,2689
30.1,30.2,2689
30.3,30.4,2690
30.5,30.65,2690
30.8,30.9,2690
31,31.1,2690
31.2,31.35,2691
31.5,31.6,2691
31.7,31.8,2692
31.9,32.05,2692
32.2,32.3,2692
32.4,32.5,2693
32.6,32.75,2693
32.9,33,2693
33.1,33.2,2694
33.3,33.45,2694
33.6,33.7,2694
33.8,33.95,2695
34.1,34.2,2695
34.3,34.4,2695
34.5,34.65,2696
34.8,34.9,2695
35,35.1,2696
35.2,35.35,2696
35.5,35.6,2697
35.7,35.8,2697
35.9,36.05,2697
36.2,36.3,2698
36.4,36.5,2698
36.6,36.75,2699
36.9,37,2700
37.1,37.25,2700
37.4,37.5,2701
37.6,37.7,2701
37.8,37.95,2702
38.1,38.2,2702
38.3,38.4,2703
38.5,38.65,2703
38.8,38.9,2703
39,39.1,2703
39.2,39.35,2703
39.5,39.6,2703
39.7,39.85,2704
40,40.1,2703
40.2,40.3,2703
40.4,40.55,2703
40.7,40.8,2702
40.9,41,2703
41.1,41.25,2702
41.4,41.5,2702
41.6,41.7,2702
41.8,41.95,2702
42.1,42.2,2702
42.3,42.45,2702
42.6,42.7,2703
42.8,42.9,2703
43,43.15,2703
43.3,43.4,2703
43.5,43.6,2703
43.7,43.85,2703
44,44.1,2703
44.2,44.3,2703
44.4,44.55,2703
44.7,44.8,2704
44.9,45.05,2704
45.2,45.3,2704
45.4,45.5,2704
45.6,45.75,2704
45.9,46,2704
46.1,46.2,2704
46.3,46.45,2705
46.6,46.7,2704
46.8,46.9,2705
47,47.15,2705
47.3,47.4,2705
47.5,47.65,2706
47.8,47.9,2706
48,48.1,2706
48.2,48.35,2706
48.5,48.6,2706
48.7,48.8,2705
48.9,49.05,2705
49.2,49.3,2705
49.4,49.5,2705
49.6,49.75,2705
49.9,50,2705
50.1,50.25,2705
50.4,50.5,2705
50.6,50.7,2704
50.8,50.95,2705
51.1,51.2,2704
51.3,51.4,2704
51.5,51.65,2704
51.8,51.9,2705
52,52.1,2704
52.2,52.35,2704
52.5,52.6,2705
52.7,52.85,2705
53,53.1,2705
53.2,53.3,2705
53.4,53.55,2705
53.7,53.8,2706
53.9,54,2706
54.1,54.25,2706
54.4,54.5,2706
54.6,54.7,2706
54.8,54.95,2707
55.1,55.2,2707
55.3,55.45,2707
55.6,55.7,2706
55.8,55.9,2707
56,56.15,2706
56.3,56.4,2706
56.5,56.6,2706
56.7,56.85,2706
